day,section,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6
saturday,CSE-36,X,X,COA,X,X,X,DBMS(L),DBMS(L),OS,X
monday,CSE-37,COA,OS(L),OS(L),X,X,X,DSS,OOPJ,STW,X
tuesday,CSE-37,X,X,X,X,X,X,X,X,X,X
wednesday,CSE-37,X,X,X,X,VT(L),VT(L),X,DSS,STW,OOPJ
thursday,CSE-37,X,X,X,OS,OOPJ(L),OOPJ(L),X,DSS,COA,DBMS
friday,CSE-37,X,X,X,STW,OOPJ,DSS,X,OS,COA,DBMS
saturday,CSE-37,X,X,X,X,DBMS(L),DBMS(L),X,OS,COA,DBMS
monday,CSE-38,OS,COA,DSS,X,VT(L),VT(L),X,X,X,X
tuesday,CSE-38,OOPJ,DSS,COA,X,X,X,OS(L),OS(L),DBMS,X
wednesday,CSE-38,X,X,X,X,X,X,X,X,X,X
thursday,CSE-38,DSS,DBMS(L),DBMS(L),OOPJ,STW,COA,X,X,X,X
friday,CSE-38,STW,OOPJ(L),OOPJ(L),DSS,OS,DBMS,X,X,X,X
saturday,CSE-38,X,X,OOPJ,DBMS,OS,COA,X,X,X,X
monday,CSE-39,X,X,X,COA,DSS,OOPJ,X,DBMS,OS,STW
tuesday,CSE-39,X,X,X,STW,COA,DSS,X,X,VT(L),VT(L)
wednesday,CSE-39,COA,OS,OOPJ,X,X,X,OOPJ(L),OOPJ(L),DSS,X
thursday,CSE-39,X,X,X,X,X,X,X,X,X,X
friday,CSE-39,X,X,X,DBMS,DBMS(L),DBMS(L),X,DSS,COA,STW
saturday,CSE-39,X,X,X,OS,OS(L),OS(L),X,OOPJ,DBMS,X
monday,CSE-40,OS,STW,DSS,COA,OOPJ,DBMS,X,X,X,X
tuesday,CSE-40,STW,DSS,COA,X,VT(L),VT(L),X,X,X,X
wednesday,CSE-40,DSS,DBMS(L),DBMS(L),COA,STW,OS,X,X,X,X
thursday,CSE-40,DBMS,OOPJ,COA,X,X,X,OS(L),OS(L),DSS,X
friday,CSE-40,X,X,X,X,X,X,X,X,X,X
saturday,CSE-40,OS,OOPJ(L),OOPJ(L),DBMS,OOPJ,X,X,X,X,X
monday,CSE-41,X,X,X,DBMS,DSS,STW,X,X,VT(L),VT(L)
tuesday,CSE-41,X,X,X,COA,DBMS(L),DBMS(L),X,OS,DBMS,OOPJ
wednesday,CSE-41,X,X,X,OS,DSS,X,X,COA,OS(L),OS(L)
thursday,CSE-41,X,X,X,STW,DSS,DBMS,X,OS,OOPJ,COA
friday,CSE-41,OOPJ,STW,DSS,X,X,X,OOPJ(L),OOPJ(L),COA,X
saturday,CSE-41,X,X,X,X,X,X,X,X,X,X
monday,CSE-42,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-42,DBMS,OS,COA,OOPJ,STW,DSS,X,X,X,X
wednesday,CSE-42,DSS,DBMS,STW,COA,DBMS(L),DBMS(L),X,X,X,X
thursday,CSE-42,COA,OS,DSS,X,VT(L),VT(L),X,X,X,X
friday,CSE-42,DSS,OOPJ(L),OOPJ(L),STW,OOPJ,COA,X,X,X,X
saturday,CSE-42,X,X,X,OS,DBMS,OOPJ,OS(L),OS(L),X,X
monday,CSE-43,STW,OS,DSS,X,X,X,OS(L),OS(L),COA,X
tuesday,CSE-43,X,X,X,DSS,OOPJ,STW,X,DBMS,OOPJ(L),OOPJ(L)
wednesday,CSE-43,X,X,X,X,COA,DBMS,X,X,VT(L),VT(L)
thursday,CSE-43,X,X,X,DSS,COA,OOPJ,X,OS,DBMS(L),DBMS(L)
friday,CSE-43,X,X,X,OOPJ,DSS,STW,X,DBMS,COA,OS
saturday,CSE-43,X,X,X,X,X,X,X,X,X,X
monday,CSE-44,DBMS,DSS,OOPJ,X,VT(L),VT(L),X,X,X,X
tuesday,CSE-44,DSS,OOPJ,COA,X,X,X,OOPJ(L),OOPJ(L),STW,X
wednesday,CSE-44,X,COA,OS,OOPJ,STW,DBMS,X,X,X,X
thursday,CSE-44,DSS,DBMS(L),DBMS(L),COA,DBMS,OS,X,X,X,X
friday,CSE-44,STW,OS,DSS,COA,OS(L),OS(L),X,X,X,X
saturday,CSE-44,X,X,X,X,X,X,X,X,X,X
monday,CSE-45,X,X,X,DSS,STW,OOPJ,X,X,VT(L),VT(L)
tuesday,CSE-45,X,X,X,OS,OOPJ(L),OOPJ(L),X,DBMS,DSS,COA
wednesday,CSE-45,X,DBMS,DSS,X,X,X,DBMS(L),DBMS(L),STW,COA
thursday,CSE-45,X,X,X,X,X,X,X,X,X,X
friday,CSE-45,X,X,X,COA,OOPJ,DBMS,X,OS,STW,DSS
saturday,CSE-45,X,X,X,OS,OS(L),OS(L),X,COA,OOPJ,X
monday,CSE-46,OOPJ,OS(L),OS(L),STW,DSS,COA,X,X,X,X
tuesday,CSE-46,OOPJ,OS,STW,X,VT(L),VT(L),X,X,X,X
wednesday,CSE-46,OS,OOPJ(L),OOPJ(L),DSS,DBMS,COA,X,X,X,X
thursday,CSE-46,DBMS,COA,OOPJ,X,X,X,DBMS(L),DBMS(L),DSS,X
friday,CSE-46,X,OS,DBMS,DSS,COA,STW,X,X,X,X
